Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG4TTP2,Black,CA,10/7/2022,63feec156b5148a5756f1577,240mmm,Dracaena Store,41.1,60.04,18.94,60.04,1
B09JG4TTP2,Black,CA,10/8/2022,63feec156b5148a5756f1578,240mmm,Dracaena Store,41.1,60.04,18.94,60.04,1
B09JG4TTP2,Black,US,10/4/2022,63ff003f6b5148a5756fe60c,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,10/5/2022,63ff003f6b5148a5756fe60d,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,10/7/2022,63ff003f6b5148a5756fe60f,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,10/8/2022,63ff003f6b5148a5756fe610,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,10/10/2022,63ff003f6b5148a5756fe612,240mmm,Dracaena Store,41.1,62,20.9,62,1
B09JG4TTP2,Black,US,10/12/2022,640d17ec1bb907e3934d2692,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,IT,10/12/2022,640da6931bb907e393587358,240mmm,Dracaena Store,41.1,75.21,34.11,75.21,1
B09JG4TTP2,Black,CA,10/13/2022,640df1ba1bb907e3935d431a,240mmm,Dracaena Store,41.1,60.04,18.94,60.04,1
B09JG4TTP2,Black,US,10/14/2022,640f88781bb907e39379305c,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,11/4/2022,642a02968c830bbda334b72a,240mmm,Dracaena Store,41.1,69,83.7,207,3
B09JG4TTP2,Black,US,11/3/2022,642a02968c830bbda334b729,240mmm,Dracaena Store,41.1,46,14.7,138,3
B09JG4TTP2,Black,US,11/5/2022,642cc5e3297d80a266ec3f25,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,11/7/2022,642cc5e3297d80a266ec3f27,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,11/8/2022,642cc5e3297d80a266ec3f28,240mmm,Dracaena Store,41.1,69,27.9,69,1
B09JG4TTP2,Black,US,4/30/2023,649bc6cbc7011f37409784a1,240mmm,Ingenious Store,41.1,69.99,57.78,139.98,2
B09JG4TTP2,Black,US,5/1/2023,649bc6cbc7011f37409784a2,240mmm,Ingenious Store,41.1,69.99,86.67,209.97,3
B09JG4TTP2,Black,US,5/2/2023,649bc6cbc7011f37409784a3,240mmm,Ingenious Store,41.1,74.99,67.78,149.98,2
B09JG4TTP2,Black,US,5/6/2023,649bc6cbc7011f37409784a7,240mmm,Ingenious Store,41.1,74.99,67.78,149.98,2
B09JG4TTP2,Black,US,5/7/2023,649bc6cbc7011f37409784a8,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/8/2023,649bc6cbc7011f37409784a9,240mmm,Ingenious Store,41.1,74.99,67.78,149.98,2
B09JG4TTP2,Black,US,5/10/2023,649bc6cbc7011f37409784ab,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/15/2023,649bc6cbc7011f37409784b0,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/17/2023,649bc6cbc7011f37409784b2,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/20/2023,649bc6cbc7011f37409784b5,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/27/2023,649bc6cbc7011f37409784bc,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
B09JG4TTP2,Black,US,5/28/2023,649bc6cbc7011f37409784bd,240mmm,Ingenious Store,41.1,74.99,33.89,74.99,1
