Asin,Color,Country Code,"Month, Day, Year of Date",Order ID,Size,Store,Cost,Price,Profit,Sales,Units
B09JG59MGK,Black,JP,6/5/2022,63d46a31dba2fe37f0acbdea,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,6/8/2022,63d46a31dba2fe37f0acbded,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,6/13/2022,63d46a31dba2fe37f0acbdf2,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,US,8/5/2022,63d46c8edba2fe37f0acef7e,120mm,Dracaena Store,31.1,52,20.9,52,1
B09JG59MGK,Black,US,7/31/2022,63d46c8edba2fe37f0acef79,120mm,Dracaena Store,31.1,52,20.9,52,1
B09JG59MGK,Black,US,8/12/2022,63d46c8edba2fe37f0acef85,120mm,Dracaena Store,31.1,52,20.9,52,1
B09JG59MGK,Black,US,8/13/2022,63d46c8edba2fe37f0acef86,120mm,Dracaena Store,31.1,52,20.9,52,1
B09JG59MGK,Black,JP,5/20/2022,63d46f88dba2fe37f0ad2b8a,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,5/22/2022,63d46f88dba2fe37f0ad2b8c,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,5/13/2022,63d46f88dba2fe37f0ad2b83,120mm,Dracaena Store,31.1,39.893,26.379,119.679,3
B09JG59MGK,Black,JP,5/15/2022,63d46f88dba2fe37f0ad2b85,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,5/16/2022,63d46f88dba2fe37f0ad2b86,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,5/18/2022,63d46f88dba2fe37f0ad2b88,120mm,Dracaena Store,31.1,39.893,8.793,39.893,1
B09JG59MGK,Black,JP,6/1/2022,63d46f88dba2fe37f0ad2b96,120mm,Dracaena Store,31.1,39.893,17.586,79.786,2
B09JG59MGK,Black,CA,7/1/2022,63d47c29dba2fe37f0ae2ad3,120mm,Dracaena Store,31.1,52.3488,21.2488,52.3488,1
B09JG59MGK,Black,CA,7/12/2022,63d47c29dba2fe37f0ae2ade,120mm,Dracaena Store,31.1,49.02,17.92,49.02,1
B09JG59MGK,Black,CA,7/13/2022,63d47c29dba2fe37f0ae2adf,120mm,Dracaena Store,31.1,49.02,53.76,147.06,3
B09JG59MGK,Black,US,7/2/2022,63d48ba8dba2fe37f0af5c1a,120mm,Dracaena Store,31.1,51.99,20.89,51.99,1
B09JG59MGK,Black,US,7/3/2022,63d48ba8dba2fe37f0af5c1b,120mm,Dracaena Store,31.1,51.99,20.89,51.99,1
B09JG59MGK,Black,US,7/4/2022,63d48ba8dba2fe37f0af5c1c,120mm,Dracaena Store,31.1,51.99,41.78,103.98,2
B09JG59MGK,Black,US,7/5/2022,63d48ba8dba2fe37f0af5c1d,120mm,Dracaena Store,31.1,51.99,41.78,103.98,2
B09JG59MGK,Black,US,7/6/2022,63d48ba8dba2fe37f0af5c1e,120mm,Dracaena Store,31.1,51.99,62.67,155.97,3
B09JG59MGK,Black,US,7/7/2022,63d48ba8dba2fe37f0af5c1f,120mm,Dracaena Store,31.1,51.99,41.78,103.98,2
